termino;valido;pilar;sectorial;colocacion;justificacion
energy saving;1;E;0;0;standard energy efficiency disclosure
senior independent director;1;G;0;0;board role defined in governance codes
climate-related health impact;1;E;0;0;climate health nexus absent from sample but valid
social dialogue;1;S;0;0;labour relations disclosure
customer health and nutrition;1;S;1;0;food and retail specific health topic
esg+f;0;;1;0;coined single company branding not general vocabulary
supplier assessment;1;S;0;1;needs ESG qualifier otherwise generic procurement
access to land;1;S;1;0;land rights topic concentrated in extractives
short-term incentive;1;G;0;0;remuneration structure disclosure
board attendance;1;G;0;0;board functioning indicator
inclusion;1;S;0;1;also means accounting or index inclusion
crisis management;0;;0;0;generic management prose without ESG load
health and safety;1;S;0;0;core occupational safety term
reuse;1;E;0;1;bare verb needs waste or material context
data protection;1;S;0;0;privacy disclosure
vulnerable group;1;S;0;0;social vulnerability topic
board committee;1;G;0;0;governance structure disclosure
employee training;1;S;0;0;human capital development
sustainability due diligence;1;TRANS;0;0;due diligence spanning environmental and social
energy transition;1;E;0;0;decarbonisation of energy supply
employee well-being;1;S;0;0;workforce wellbeing topic
takeover;0;;0;0;pure M and A finance vocabulary
working condition;1;S;0;0;labour standards term
waste recycled;1;E;0;0;circularity metric
tax policy;1;G;0;1;ambiguous with public fiscal policy
patient safety;1;S;1;0;pharma and healthcare specific
three lines of defence;1;G;0;0;risk governance model
carbon neutrality;1;E;0;0;climate target claim
product traceability;1;S;0;0;supply chain traceability topic
green recovery;1;E;0;0;climate aligned recovery framing
science based target;1;E;0;0;standard climate target framework
performance share;1;G;0;1;instrument only ESG inside remuneration context
climate change adaptation;1;E;0;0;core adaptation term
plastic waste;1;E;0;0;specific waste stream
export control;1;G;1;0;trade compliance concentrated in defence and semis
air emission;1;E;0;0;pollutant emission term
voluntary emission reduction certificate;1;E;0;0;carbon credit instrument
energy mix;1;E;0;0;energy sourcing disclosure
antitrust;1;G;0;0;competition compliance
emission reduction target;1;E;0;0;climate target
talent development;1;S;0;0;workforce development
road safety;1;S;1;0;concentrated in automotive and beverage reports
corporate volunteering;1;S;0;0;community involvement
double materiality;1;TRANS;0;0;materiality concept covering all pillars
dow jones sustainability index;1;TRANS;0;0;ESG index membership claim
change of control;0;;0;0;contractual M and A clause not ESG content
product quality;0;;0;0;generic commercial quality prose
diesel emission;1;E;1;0;automotive specific
whistleblowing hotline;1;G;0;0;ethics reporting channel
sustainable event;0;;1;0;peripheral one company practice
sustainable financing;1;TRANS;0;0;sustainable finance instrument umbrella
residual emission;1;E;0;0;net zero accounting concept
sustainable mobility;1;E;0;0;transport decarbonisation
transition risk;1;E;0;0;climate risk category
oil spill;1;E;1;0;oil and gas incident vocabulary
food bank;1;S;1;0;food retail community donation
tcfd;1;E;0;0;climate reporting framework
inclusive workplace;1;S;0;0;diversity and inclusion topic
protected area;1;E;0;0;biodiversity siting term
executive compensation;1;G;0;0;remuneration disclosure
whistle-blowing hotline;1;G;0;0;spelling variant of ethics channel
loyalty voting structure;1;G;0;0;shareholder rights arrangement
special voting share;1;G;0;0;dual class voting structure
energy efficiency;1;E;0;0;core environmental efficiency term
consumer health and safety;1;S;0;0;product safety topic
esg ambition;0;;0;0;vague rhetorical filler
childcare;1;S;0;0;family support benefit
sustainable packaging;1;E;1;0;consumer goods and retail specific
net zero;1;E;0;0;flagship climate commitment
information security;1;G;0;0;security controls topic
governance body;1;G;0;0;governance structure term
global warming;1;E;0;0;climate change term
waste management;1;E;0;0;waste topic
photovoltaic plant;1;E;1;0;utility asset vocabulary
renewable electricity;1;E;0;0;clean energy sourcing
sustainable taxation;1;G;0;0;responsible tax framing
ftse4good;1;TRANS;0;0;ESG index membership
