termino;valido;pilar;sectorial;colocacion;justificacion
energy saving;1;E;0;0;clear environmental efficiency concept
senior independent director;1;G;0;0;board role standard governance disclosure
climate-related health impact;1;E;0;0;absent from sample but valid climate impact term
social dialogue;1;S;0;0;labour relations concept widely used
customer health and nutrition;1;S;1;0;food retail material topic
esg+f;0;;0;0;Iberdrola specific branding not generalizable
supplier assessment;1;S;0;1;needs sustainability qualifier otherwise commercial vetting
access to land;1;S;1;0;land rights topic in extractives
short-term incentive;1;G;0;0;remuneration structure governance disclosure
board attendance;1;G;0;0;board functioning indicator
inclusion;1;S;0;1;frequent accounting use inclusion of
crisis management;0;;0;0;generic business continuity prose no ESG charge
health and safety;1;S;0;0;core occupational safety term
reuse;1;E;0;0;circularity vocabulary environmental
data protection;1;S;0;0;privacy topic social pillar
vulnerable group;1;S;0;0;social vulnerability standard term
board committee;1;G;0;0;board structure disclosure
employee training;1;S;0;0;human capital development
sustainability due diligence;1;TRANS;0;0;covers environmental and social value chain duties
energy transition;1;E;0;0;decarbonisation vocabulary
employee well-being;1;S;0;0;workforce wellbeing standard topic
takeover;0;;0;0;M and A finance term without ESG content
working condition;1;S;0;0;labour conditions core social term
waste recycled;1;E;0;0;waste metric environmental
tax policy;1;G;0;1;ambiguous with fiscal policy needs corporate qualifier
patient safety;1;S;1;0;pharma and healthcare specific social topic
three lines of defence;1;G;0;0;risk governance model
carbon neutrality;1;E;0;0;climate claim central to greenwashing
product traceability;1;S;0;0;supply chain transparency topic
green recovery;0;;0;0;political slogan too vague to measure
science based target;1;E;0;0;climate target methodology
performance share;0;;0;0;share-based payment accounting item
climate change adaptation;1;E;0;0;standard climate pillar term
plastic waste;1;E;0;0;waste and materials topic
export control;1;G;1;0;compliance concentrated in defence and semiconductors
air emission;1;E;0;0;pollutant emission term
voluntary emission reduction certificate;1;E;0;0;carbon offset instrument
energy mix;1;E;0;0;energy sourcing composition
antitrust;1;G;0;0;competition compliance governance
emission reduction target;1;E;0;0;climate target term
talent development;1;S;0;0;human capital topic
road safety;1;S;1;0;transport and distribution focused safety topic
corporate volunteering;1;S;0;0;community involvement standard
double materiality;1;TRANS;0;0;CSRD reporting concept spanning pillars
dow jones sustainability index;1;TRANS;0;0;ESG index reference
change of control;0;;0;0;contract and M and A clause not ESG
product quality;0;;0;0;generic operational quality prose
diesel emission;1;E;1;0;automotive specific emission term
whistleblowing hotline;1;G;0;0;ethics channel governance
sustainable event;0;;0;0;marginal marketing phrase measures nothing
sustainable financing;1;TRANS;0;0;ESG linked funding vocabulary
residual emission;1;E;0;0;net zero accounting concept
sustainable mobility;1;E;0;0;transport decarbonisation
transition risk;1;E;0;0;climate risk taxonomy term
oil spill;1;E;1;0;oil and gas environmental incident
food bank;1;S;1;0;food donation community topic in retail
tcfd;1;E;0;0;climate disclosure framework
inclusive workplace;1;S;0;0;diversity and inclusion term
protected area;1;E;0;0;biodiversity conservation term
executive compensation;1;G;0;0;remuneration governance
whistle-blowing hotline;1;G;0;0;ethics channel spelling variant
loyalty voting structure;1;G;0;0;shareholder rights structure
special voting share;1;G;0;0;dual class voting governance
energy efficiency;1;E;0;0;core environmental efficiency term
consumer health and safety;1;S;0;0;product responsibility social topic
esg ambition;1;TRANS;0;0;commitment claim relevant for washing detection
childcare;1;S;0;0;work life benefit
sustainable packaging;1;E;1;0;consumer goods packaging topic
net zero;1;E;0;0;flagship climate claim
information security;1;G;0;0;IT governance and controls
governance body;1;G;0;0;governance structure term
global warming;1;E;0;0;climate vocabulary
waste management;1;E;0;0;waste topic
photovoltaic plant;1;E;1;0;utility generation asset
renewable electricity;1;E;0;0;renewable sourcing
