termino;pilar;sectorial;colocacion;justificacion
sustainability;TRANS;0;0;omnipresente: estrategia, comites e informes en los 17 informes
esg;TRANS;0;0;etiqueta ESG topic, ESG risks, ESG reporting en casi todos
sustainable development;TRANS;0;0;planes de desarrollo sostenible de Iberdrola y Sanofi
sustainable development goal;TRANS;0;1;ODS citados por Ahold, AB InBev, Sanofi, Ferrari
2030 agenda;TRANS;0;1;Agenda 2030 de Naciones Unidas en Iberdrola
materiality assessment;TRANS;0;1;materiality solo remite a materialidad de auditoria
material topic;TRANS;0;1;temas materiales del reporte no financiero
materiality matrix;TRANS;0;1;matriz de materialidad de Ferrari
double materiality;TRANS;0;1;double materiality assessment ante la CSRD
non-financial reporting;TRANS;0;1;procesos de reporte financiero y no financiero
non-financial statement;TRANS;0;1;estado no financiero verificado en PSA y Ferrari
non-financial information;TRANS;0;1;Statement of Non-Financial Information de Iberdrola
non-financial performance;TRANS;0;1;objetivos financieros y no financieros del negocio
sustainability report;TRANS;0;1;informe de sostenibilidad revisado por el comite
sustainability reporting;TRANS;0;1;Corporate Sustainability Reporting Directive y practicas asociadas
esg reporting;TRANS;0;1;el comite de auditoria supervisa el ESG reporting
esg topic;TRANS;0;1;encabezado recurrente de las tablas ESG de Ahold
esg data;TRANS;0;1;demanda creciente de datos ESG en Deutsche Borse
esg risk;TRANS;0;1;categoria propia en el marco de riesgos de Ahold
esg factor;TRANS;0;1;impacto financiero material de factores ESG en Nokia
esg objective;TRANS;0;1;los objetivos ESG del plan de Iberdrola
esg ambition;TRANS;0;1;nivel de ambicion ESG de ASML
esg agenda;TRANS;0;1;compromiso con stakeholders sobre la agenda ESG
global reporting initiative;TRANS;0;0;estandares GRI usados por Ahold y Sanofi
gri standard;TRANS;0;1;GRI Standards Core option para reportar progreso
gri indicator;TRANS;0;1;columna de indicador GRI en las tablas ESG
csrd;TRANS;0;0;implantacion de la directiva citada por varios emisores
esrs;TRANS;0;0;European Sustainability Reporting Standards aplicados por ASML
eu taxonomy;TRANS;0;1;taxonomia europea y sus secciones de elegibilidad
taxonomy-eligible;TRANS;0;1;actividades elegibles bajo taxonomia
taxonomy-aligned;TRANS;0;1;actividades ambientalmente sostenibles alineadas con la taxonomia
sasb;TRANS;0;0;marco citado en la tabla de business integrity de Airbus
integrated report;TRANS;0;1;informe integrado segun IIRC en Iberdrola y AXA
iirc;TRANS;0;0;recomendaciones del International Integrated Reporting Council
sustainability statements;TRANS;0;1;seccion ESRS del informe anual de ASML
stakeholder;TRANS;0;0;expectativas de grupos de interes en todos los informes
stakeholder engagement;TRANS;0;1;engagement solo remite a encargo de auditoria
stakeholder dialogue;TRANS;0;1;dialogo transparente con stakeholders en Total e Iberdrola
