termino;n;veredicto;categoria;nota
product safety;1;1;ok;
product safety;2;0;indice;encabezado de seccion
product safety;3;1;ok;factor de riesgo regulatorio
product safety;4;1;ok;
product safety;5;1;ok;
product safety;6;1;ok;
compliance management system;1;0;indice;encabezado de seccion
compliance management system;2;1;ok;supervision del consejo
compliance management system;3;1;ok;supervision del comite de auditoria
compliance management system;4;1;ok;
compliance management system;5;1;ok;
compliance management system;6;1;ok;sistemas ISO ambientales
gdpr;1;1;ok;
gdpr;2;1;ok;
gdpr;3;1;ok;factor de riesgo
gdpr;4;1;ok;
gdpr;5;1;ok;
gdpr;6;1;ok;
child labor;1;1;ok;
child labor;2;1;ok;
child labor;3;1;ok;
child labor;4;1;ok;
child labor;5;1;ok;
child labor;6;0;indice;tabla KPI con referencias a secciones
accessibility;1;0;otro;accesibilidad del proxy en junta
accessibility;2;1;ok;acceso al agua
accessibility;3;1;ok;
accessibility;4;1;ok;
accessibility;5;0;generico;acceso a cursos en movil
accessibility;6;1;ok;
habitat;1;1;ok;
habitat;2;1;ok;
habitat;3;1;ok;
habitat;4;1;ok;
habitat;5;1;ok;
habitat;6;0;otro;entrada de glosario
forced labor;1;1;ok;
forced labor;2;1;ok;
forced labor;3;1;ok;
forced labor;4;1;ok;
forced labor;5;1;ok;
forced labor;6;1;ok;
volunteer;1;1;ok;
volunteer;2;0;generico;alcance del canal de denuncias
volunteer;3;1;ok;
volunteer;4;1;ok;
volunteer;5;1;ok;
volunteer;6;1;ok;
living wage;1;0;indice;encabezado de seccion
living wage;2;1;ok;
living wage;3;1;ok;matriz de materialidad
living wage;4;1;ok;
living wage;5;1;ok;
living wage;6;1;ok;
compliance function;1;1;ok;
compliance function;2;1;ok;
compliance function;3;1;ok;
compliance function;4;1;ok;
compliance function;5;1;ok;
compliance function;6;1;ok;
green bond;1;1;ok;
green bond;2;1;ok;
green bond;3;1;ok;
green bond;4;1;ok;
green bond;5;1;ok;
green bond;6;1;ok;
responsible business;1;1;ok;Responsible Business Alliance
responsible business;2;0;otro;nombre de departamento
responsible business;3;0;indice;tabla de correspondencias ESRS
responsible business;4;0;otro;nombre de departamento
responsible business;5;0;indice;referencia cruzada a subseccion
responsible business;6;1;ok;
flood;1;1;ok;
flood;2;1;ok;
flood;3;1;ok;
flood;4;1;ok;
flood;5;0;generico;lista generica de catastrofes
flood;6;1;ok;
mental health;1;1;ok;
mental health;2;1;ok;
mental health;3;1;ok;
mental health;4;1;ok;
mental health;5;1;ok;
mental health;6;1;ok;
social risk;1;1;ok;
social risk;2;1;ok;
social risk;3;1;ok;
social risk;4;0;indice;tabla de datapoints ESRS
social risk;5;1;ok;
social risk;6;1;ok;
speak up;1;1;ok;
speak up;2;1;ok;
speak up;3;1;ok;
speak up;4;1;ok;
