termino;n;veredicto;categoria;nota
low carbon;1;1;ok;
low carbon;2;1;ok;
low carbon;3;1;ok;
low carbon;4;1;ok;
low carbon;5;1;ok;
low carbon;6;1;ok;
low carbon;7;1;ok;
low carbon;8;1;ok;
low carbon;9;1;ok;actividad de taxonomia UE
low carbon;10;1;ok;
low carbon;11;1;ok;
low carbon;12;1;ok;
risk appetite;1;1;ok;supervision del consejo sobre riesgos
risk appetite;2;0;financiero;limite de ratio Solvencia II
risk appetite;3;1;ok;marco de apetito de riesgo del consejo
risk appetite;4;1;ok;
risk appetite;5;1;ok;
risk appetite;6;1;ok;integridad y prevencion de delitos
risk appetite;7;1;ok;
risk appetite;8;1;ok;lista de negocios prohibidos
risk appetite;9;0;financiero;capacidad de absorcion de perdidas y VaR
risk appetite;10;0;financiero;riesgo de mercado de cartera
risk appetite;11;1;ok;
risk appetite;12;1;ok;
sdg;1;1;ok;
sdg;2;1;ok;
sdg;3;1;ok;
sdg;4;1;ok;
sdg;5;1;ok;
sdg;6;1;ok;
sdg;7;1;ok;
sdg;8;1;ok;
sdg;9;1;ok;premio de igualdad de genero
sdg;10;1;ok;
sdg;11;1;ok;
sdg;12;1;ok;
data protection;1;1;ok;formacion pro bono a entidades sociales
data protection;2;1;ok;
data protection;3;1;ok;
data protection;4;1;ok;
data protection;5;1;ok;
data protection;6;0;indice;tabla de temas con numeros de pagina
data protection;7;1;ok;
data protection;8;0;indice;indice de contenidos con paginas
data protection;9;1;ok;
data protection;10;1;ok;
data protection;11;1;ok;
data protection;12;1;ok;
hydrogen;1;1;ok;
hydrogen;2;1;ok;
hydrogen;3;1;ok;
hydrogen;4;1;ok;
hydrogen;5;1;ok;
hydrogen;6;1;ok;
hydrogen;7;1;ok;
hydrogen;8;1;ok;
hydrogen;9;1;ok;
hydrogen;10;1;ok;
hydrogen;11;1;ok;nota al pie de datos ambientales
hydrogen;12;1;ok;
net zero;1;1;ok;
net zero;2;1;ok;
net zero;3;1;ok;
net zero;4;1;ok;
net zero;5;1;ok;
net zero;6;1;ok;
net zero;7;0;indice;indice de contenidos con paginas
net zero;8;1;ok;
net zero;9;1;ok;
net zero;10;1;ok;
net zero;11;1;ok;
net zero;12;1;ok;
cybersecuri\w+;1;1;ok;
cybersecuri\w+;2;1;ok;inventario de politicas del grupo
cybersecuri\w+;3;1;ok;
cybersecuri\w+;4;1;ok;
cybersecuri\w+;5;0;generico;area de I+D industrial
cybersecuri\w+;6;0;indice;referencia cruzada del formulario 20-F
cybersecuri\w+;7;1;ok;
cybersecuri\w+;8;1;ok;
cybersecuri\w+;9;1;ok;
cybersecuri\w+;10;1;ok;
cybersecuri\w+;11;1;ok;
cybersecuri\w+;12;0;generico;curso de liderazgo en prosa de margenes
cybersecurity;1;1;ok;
cybersecurity;2;1;ok;
