termino;n;veredicto;categoria;nota
whistleblowing;1;1;ok;
whistleblowing;2;1;ok;
whistleblowing;3;1;ok;
whistleblowing;4;1;ok;
whistleblowing;5;1;ok;
whistleblowing;6;1;ok;
whistleblowing;7;1;ok;
whistleblowing;8;1;ok;
whistleblowing;9;1;ok;
whistleblowing;10;1;ok;
whistleblowing;11;1;ok;
whistleblowing;12;1;ok;
bribery;1;0;indice;lista numerada de temas materiales
bribery;2;0;indice;referencia ESRS G1-3
bribery;3;0;indice;lista numerada de temas materiales
bribery;4;1;ok;
bribery;5;0;indice;enumeracion de secciones del informe
bribery;6;1;ok;
bribery;7;1;ok;
bribery;8;1;ok;riesgo regulatorio anticorrupcion
bribery;9;1;ok;
bribery;10;1;ok;
bribery;11;1;ok;
bribery;12;1;ok;
marine;1;0;indice;cabecera tabla taxonomia
marine;2;1;ok;
marine;3;0;generico;motores marinos Scania
marine;4;1;ok;
marine;5;1;ok;energia marina renovable
marine;6;0;generico;aplicaciones marinas de vidrio
donation;1;1;ok;
donation;2;1;ok;
donation;3;1;ok;
donation;4;1;ok;
donation;5;1;ok;
donation;6;1;ok;riesgo de corrupcion en donaciones
electrification;1;1;ok;
electrification;2;1;ok;
electrification;3;0;generico;lista de tecnologias sin marco climatico
electrification;4;1;ok;
electrification;5;1;ok;
electrification;6;1;ok;
collective bargaining;1;1;ok;
collective bargaining;2;0;otro;cargo sindical en biografia de consejero
collective bargaining;3;1;ok;
collective bargaining;4;1;ok;
collective bargaining;5;1;ok;
collective bargaining;6;0;indice;tabla con remision a secciones
employee engagement;1;1;ok;KPI en tabla
employee engagement;2;1;ok;
employee engagement;3;0;generico;politica retributiva
employee engagement;4;1;ok;
employee engagement;5;1;ok;
employee engagement;6;1;ok;
compliance risk;1;1;ok;
compliance risk;2;1;ok;
compliance risk;3;0;indice;tabla de temas y ODS
compliance risk;4;0;indice;epigrafes numerados
compliance risk;5;0;financiero;riesgo regulatorio de modelos de pricing
compliance risk;6;1;ok;
harassment;1;1;ok;
harassment;2;1;ok;
harassment;3;1;ok;
harassment;4;1;ok;
harassment;5;1;ok;
harassment;6;1;ok;
vigilance plan;1;1;ok;
vigilance plan;2;0;indice;indice con paginas
vigilance plan;3;1;ok;
vigilance plan;4;0;indice;tabla de referencias cruzadas
vigilance plan;5;1;ok;
vigilance plan;6;1;ok;
compliance officer;1;0;generico;lista de asistentes al comite
compliance officer;2;1;ok;
compliance officer;3;0;generico;organigrama de areas
compliance officer;4;1;ok;
compliance officer;5;1;ok;
compliance officer;6;1;ok;
social dialogue;1;0;indice;encabezado de seccion
social dialogue;2;0;indice;encabezado numerado
social dialogue;3;1;ok;
social dialogue;4;0;indice;tabla de mapeo ESRS
social dialogue;5;0;indice;indice con paginas
social dialogue;6;0;indice;indice de epigrafes
trade union;1;1;ok;
trade union;2;0;otro;biografia de consejero
trade union;3;0;otro;biografia de consejero
trade union;4;0;generico;cesion de retribucion de consejeros
trade union;5;0;generico;cesion de retribucion de consejeros
trade union;6;1;ok;
tcfd;1;1;ok;
tcfd;2;1;ok;
tcfd;3;0;indice;indice con paginas
tcfd;4;1;ok;
tcfd;5;1;ok;
tcfd;6;1;ok;
occupational health;1;1;ok;
occupational health;2;1;ok;
occupational health;3;1;ok;
occupational health;4;1;ok;
occupational health;5;1;ok;
occupational health;6;1;ok;
nonfinancial;1;1;ok;
nonfinancial;2;0;indice;indice de epigrafes
nonfinancial;3;1;ok;
nonfinancial;4;1;ok;
nonfinancial;5;0;financiero;sociedades no financieras
nonfinancial;6;0;financiero;funcion Non-Financial Risk
article\s*[689]\b;1;0;financiero;estatutos sociales
article\s*[689]\b;2;0;financiero;codigo AFEP-MEDEF
article\s*[689]\b;3;1;ok;SFDR
article\s*[689]\b;4;0;financiero;decreto legislativo contable
article\s*[689]\b;5;0;financiero;reglamento de folletos
article\s*[689]\b;6;0;financiero;reglamento de folletos
circulari\w+;1;1;ok;
circulari\w+;2;1;ok;
circulari\w+;3;1;ok;
circulari\w+;4;1;ok;
circulari\w+;5;1;ok;
circulari\w+;6;1;ok;
sbti;1;1;ok;
sbti;2;1;ok;
sbti;3;1;ok;
sbti;4;1;ok;
sbti;5;1;ok;
sbti;6;1;ok;formacion del consejo en clima
data privacy;1;1;ok;
data privacy;2;1;ok;
data privacy;3;1;ok;
data privacy;4;0;indice;mapa de riesgos con paginas
data privacy;5;1;ok;
data privacy;6;1;ok;
circularity;1;1;ok;
circularity;2;1;ok;
circularity;3;1;ok;
circularity;4;0;indice;indice con paginas
circularity;5;1;ok;premio economia circular
circularity;6;1;ok;
paris\s+agreement;1;1;ok;
paris\s+agreement;2;1;ok;
paris\s+agreement;3;1;ok;
paris\s+agreement;4;1;ok;
paris\s+agreement;5;1;ok;
paris\s+agreement;6;1;ok;
information security;1;1;ok;
information security;2;1;ok;
information security;3;1;ok;
information security;4;0;otro;biografia de directivo
information security;5;1;ok;
information security;6;1;ok;
material topic;1;1;ok;
material topic;2;1;ok;
material topic;3;1;ok;
material topic;4;1;ok;
material topic;5;1;ok;
material topic;6;1;ok;
carbon neutrality;1;1;ok;
carbon neutrality;2;1;ok;
carbon neutrality;3;1;ok;
carbon neutrality;4;1;ok;
carbon neutrality;5;1;ok;
carbon neutrality;6;0;generico;oportunidad de negocio en estandares de red
wastewater;1;1;ok;
wastewater;2;1;ok;
wastewater;3;1;ok;
wastewater;4;0;generico;segmento de clientes Water and Wastewater
wastewater;5;1;ok;
wastewater;6;1;ok;
species;1;1;ok;
species;2;0;indice;indice GRI
species;3;1;ok;
species;4;1;ok;
species;5;0;indice;tabla de temas materiales
species;6;1;ok;
ilo;1;1;ok;
