termino;n;veredicto;categoria;nota
wind power;1;1;ok;
wind power;2;1;ok;
wind power;3;0;otro;nombre de filial en listado societario
wind power;4;1;ok;
wind power;5;1;ok;
wind power;6;1;ok;
zdhc;1;1;ok;
zdhc;2;1;ok;
zdhc;3;1;ok;
zdhc;4;1;ok;
zdhc;5;1;ok;
zdhc;6;1;ok;
supply chain management;1;1;ok;
supply chain management;2;0;generico;complejidad operativa de la cadena
supply chain management;3;0;otro;nombre de funcion en tabla de plantilla
supply chain management;4;0;otro;nombre de funcion corporativa
supply chain management;5;1;ok;
supply chain management;6;1;ok;
philanthropy;1;1;ok;
philanthropy;2;1;ok;
philanthropy;3;1;ok;
philanthropy;4;1;ok;
philanthropy;5;1;ok;listado de asuntos RSC materiales
philanthropy;6;1;ok;
apprentice;1;0;generico;nota de perimetro de plantilla HGB
apprentice;2;1;ok;
apprentice;3;0;generico;nota de perimetro de plantilla HGB
apprentice;4;1;ok;
apprentice;5;0;generico;exclusion en definicion de metrica
apprentice;6;0;generico;nota metodologica de perimetro
air quality;1;1;ok;
air quality;2;1;ok;
air quality;3;1;ok;
air quality;4;1;ok;
air quality;5;1;ok;
air quality;6;0;generico;condiciones de sala limpia
flooding;1;1;ok;
flooding;2;1;ok;
flooding;3;1;ok;
flooding;4;1;ok;
flooding;5;1;ok;
flooding;6;1;ok;
leed;1;1;ok;
leed;2;1;ok;
leed;3;1;ok;
leed;4;1;ok;
leed;5;1;ok;
leed;6;1;ok;
effluent;1;1;ok;
effluent;2;1;ok;
effluent;3;1;ok;
effluent;4;1;ok;
effluent;5;0;indice;nombre de estandar GRI 303
effluent;6;1;ok;
food safety;1;0;otro;nombre de DG de la Comision
food safety;2;0;otro;biografia de consejero
food safety;3;1;ok;
food safety;4;1;ok;
food safety;5;1;ok;
food safety;6;0;indice;glosario
compliance programme;1;1;ok;
compliance programme;2;1;ok;
compliance programme;3;0;financiero;cumplimiento de retenciones FATCA
compliance programme;4;1;ok;
compliance programme;5;1;ok;
compliance programme;6;1;ok;
insider trading;1;0;indice;encabezado mezclado con indice
insider trading;2;1;ok;
insider trading;3;1;ok;
insider trading;4;1;ok;
insider trading;5;1;ok;
insider trading;6;1;ok;
road safety;1;1;ok;
road safety;2;1;ok;
road safety;3;1;ok;
road safety;4;1;ok;
road safety;5;1;ok;
road safety;6;1;ok;
talent development;1;1;ok;
talent development;2;1;ok;
talent development;3;1;ok;
talent development;4;1;ok;
