termino;n;veredicto;categoria;nota
risk appetite;1;1;ok;gestion de riesgos corporativa
risk appetite;2;1;ok;gobierno del riesgo
risk appetite;3;1;ok;
risk appetite;4;0;financiero;marco prudencial bancario
risk appetite;5;1;ok;gestion de riesgos corporativa
risk appetite;6;0;financiero;umbral de liquidez
risk appetite;7;1;ok;
risk appetite;8;1;ok;
risk appetite;9;1;ok;ciberseguridad
risk appetite;10;1;ok;riesgo CSR en credito
risk appetite;11;0;financiero;limites de liquidez
risk appetite;12;1;ok;riesgo de compliance
low carbon;1;1;ok;
low carbon;2;1;ok;
low carbon;3;1;ok;
low carbon;4;1;ok;
low carbon;5;1;ok;tabla de riesgos climaticos
low carbon;6;1;ok;
low carbon;7;1;ok;
low carbon;8;1;ok;
low carbon;9;1;ok;
low carbon;10;1;ok;
low carbon;11;1;ok;
low carbon;12;1;ok;
hydrogen;1;1;ok;tabla taxonomia
hydrogen;2;0;otro;plantilla legal taxonomia nuclear/gas
hydrogen;3;0;otro;nota al pie acronimo programa
hydrogen;4;0;otro;plantilla legal taxonomia nuclear/gas
hydrogen;5;0;otro;programa de talento llamado Hydrogen
hydrogen;6;1;ok;
hydrogen;7;1;ok;
hydrogen;8;0;otro;plantilla legal taxonomia nuclear/gas
hydrogen;9;1;ok;hydrogen cyanide contaminante
hydrogen;10;0;generico;patrocinio America's Cup
hydrogen;11;1;ok;
hydrogen;12;1;ok;hydrogen sulfide contaminante
data protection;1;1;ok;
data protection;2;1;ok;
data protection;3;1;ok;
data protection;4;1;ok;
data protection;5;1;ok;
data protection;6;1;ok;
data protection;7;1;ok;
data protection;8;1;ok;
data protection;9;1;ok;
data protection;10;1;ok;
data protection;11;1;ok;
data protection;12;1;ok;
sdg;1;1;ok;
sdg;2;1;ok;
sdg;3;0;indice;referencia cruzada tabla PRB
sdg;4;1;ok;
sdg;5;1;ok;
sdg;6;1;ok;
sdg;7;1;ok;
sdg;8;1;ok;
sdg;9;1;ok;
sdg;10;1;ok;
sdg;11;1;ok;mapa de materialidad
sdg;12;1;ok;
net zero;1;1;ok;
net zero;2;1;ok;
net zero;3;1;ok;
net zero;4;1;ok;
net zero;5;1;ok;
net zero;6;1;ok;
net zero;7;1;ok;
net zero;8;1;ok;
net zero;9;1;ok;
net zero;10;1;ok;
net zero;11;1;ok;
net zero;12;1;ok;
cybersecuri\w+;1;1;ok;
cybersecuri\w+;2;1;ok;
cybersecuri\w+;3;1;ok;
cybersecuri\w+;4;1;ok;
cybersecuri\w+;5;1;ok;objetivo de remuneracion
cybersecuri\w+;6;0;generico;servicios comerciales de ciberseguridad
cybersecuri\w+;7;1;ok;
cybersecuri\w+;8;1;ok;etiqueta de ficha de riesgo
cybersecuri\w+;9;1;ok;
cybersecuri\w+;10;1;ok;
cybersecuri\w+;11;1;ok;
cybersecuri\w+;12;1;ok;
cybersecurity;1;1;ok;
cybersecurity;2;1;ok;
cybersecurity;3;0;generico;area tecnologica de I+D
cybersecurity;4;1;ok;
cybersecurity;5;1;ok;
cybersecurity;6;1;ok;
cybersecurity;7;1;ok;
cybersecurity;8;1;ok;
cybersecurity;9;1;ok;
cybersecurity;10;1;ok;
cybersecurity;11;1;ok;
cybersecurity;12;0;generico;tendencia sectorial
energy efficiency;1;1;ok;
energy efficiency;2;1;ok;
energy efficiency;3;1;ok;
energy efficiency;4;1;ok;
energy efficiency;5;1;ok;
energy efficiency;6;1;ok;
energy efficiency;7;1;ok;
energy efficiency;8;1;ok;
energy efficiency;9;1;ok;
energy efficiency;10;1;ok;
energy efficiency;11;1;ok;
energy efficiency;12;1;ok;
due diligence;1;1;ok;
due diligence;2;1;ok;
due diligence;3;1;ok;
due diligence;4;0;indice;tabla de correspondencia NFRD/TCFD
due diligence;5;0;generico;continuidad de negocio proveedores
due diligence;6;1;ok;
due diligence;7;1;ok;
due diligence;8;0;financiero;due diligence de suscripcion
due diligence;9;1;ok;
due diligence;10;1;ok;
due diligence;11;1;ok;
due diligence;12;1;ok;
taxonomy eligible;1;0;indice;definicion tipo glosario
taxonomy eligible;2;1;ok;
taxonomy eligible;3;1;ok;
taxonomy eligible;4;1;ok;
taxonomy eligible;5;1;ok;
taxonomy eligible;6;1;ok;
taxonomy eligible;7;0;indice;leyenda de tabla
taxonomy eligible;8;1;ok;
taxonomy eligible;9;1;ok;
taxonomy eligible;10;1;ok;
taxonomy eligible;11;0;indice;cabeceras de tabla repetidas
taxonomy eligible;12;0;indice;leyenda de tabla
disability;1;0;financiero;seguro de prevision del CEO
disability;2;0;financiero;prestaciones de pensiones
disability;3;1;ok;
disability;4;0;financiero;riesgo actuarial de seguros
disability;5;1;ok;
disability;6;1;ok;
disability;7;1;ok;
disability;8;1;ok;
disability;9;1;ok;
disability;10;0;financiero;plan de prevision de consejeros
disability;11;1;ok;
disability;12;0;financiero;hipotesis actuariales
sanction;1;1;ok;
sanction;2;1;ok;
sanction;3;0;financiero;sanciones estatutarias accionistas
sanction;4;1;ok;
sanction;5;1;ok;
sanction;6;1;ok;
sanction;7;1;ok;
sanction;8;1;ok;
sanction;9;1;ok;
sanction;10;0;generico;sanciones geopoliticas a Rusia
sanction;11;1;ok;
sanction;12;1;ok;
equality;1;1;ok;
equality;2;1;ok;
equality;3;1;ok;
equality;4;1;ok;
equality;5;1;ok;
equality;6;1;ok;
equality;7;1;ok;
equality;8;1;ok;
equality;9;1;ok;
equality;10;0;indice;tabla de correspondencia KPI
equality;11;1;ok;
equality;12;0;indice;tabla de correspondencia EINF
decarbonization;1;1;ok;
decarbonization;2;1;ok;
decarbonization;3;1;ok;
decarbonization;4;1;ok;
decarbonization;5;1;ok;
decarbonization;6;1;ok;
decarbonization;7;1;ok;
decarbonization;8;1;ok;
decarbonization;9;1;ok;
decarbonization;10;1;ok;
decarbonization;11;1;ok;
decarbonization;12;1;ok;
whistleblow\w+;1;1;ok;
whistleblow\w+;2;1;ok;
