termino;n;veredicto;categoria;nota
gender;1;1;ok;
gender;2;1;ok;
gender;3;1;ok;
gender;4;1;ok;
gender;5;1;ok;
gender;6;1;ok;
gender;7;1;ok;
gender;8;1;ok;
gender;9;1;ok;
gender;10;1;ok;
gender;11;1;ok;
gender;12;1;ok;
fuel;1;1;ok;definicion scope 1
fuel;2;1;ok;
fuel;3;0;generico;contexto macro crisis energetica
fuel;4;1;ok;fuel poverty
fuel;5;0;otro;lista de filiales
fuel;6;0;financiero;compras de combustible en cuentas
fuel;7;0;financiero;recargos por combustible
fuel;8;1;ok;
fuel;9;1;ok;riesgo regulatorio de emisiones
fuel;10;0;generico;subastas de suministro regulatorio
fuel;11;1;ok;
fuel;12;1;ok;
corruption;1;0;otro;corrupcion de datos informatica
corruption;2;1;ok;
corruption;3;1;ok;
corruption;4;1;ok;
corruption;5;1;ok;
corruption;6;1;ok;
corruption;7;1;ok;
corruption;8;1;ok;
corruption;9;1;ok;
corruption;10;0;indice;tabla de correspondencia NFS
corruption;11;1;ok;
corruption;12;1;ok;
inclusion;1;1;ok;competencias ESG de consejera
inclusion;2;1;ok;
inclusion;3;0;generico;inclusion digital comercial
inclusion;4;0;otro;nota metodologica inclusion de partes
inclusion;5;1;ok;
inclusion;6;1;ok;inclusion financiera
inclusion;7;1;ok;
inclusion;8;1;ok;
inclusion;9;1;ok;
inclusion;10;1;ok;
inclusion;11;0;financiero;IFRS 17 risk adjustment
inclusion;12;1;ok;
health and safety;1;1;ok;alcance verificacion datos
health and safety;2;1;ok;
health and safety;3;0;generico;descripcion de producto
health and safety;4;1;ok;
health and safety;5;1;ok;
health and safety;6;1;ok;
health and safety;7;1;ok;
health and safety;8;1;ok;
health and safety;9;1;ok;
health and safety;10;1;ok;
health and safety;11;1;ok;
health and safety;12;1;ok;
footprint;1;1;ok;
footprint;2;1;ok;
footprint;3;0;generico;presencia internacional
footprint;4;1;ok;
footprint;5;0;generico;huella geografica
footprint;6;0;generico;presencia global
