termino;n;veredicto;categoria;nota
soil health;1;1;ok;
soil health;2;1;ok;
soil health;3;1;ok;
soil health;4;1;ok;
soil health;5;1;ok;
soil health;6;1;ok;
wind turbine;1;1;ok;
wind turbine;2;0;generico;demanda de semiconductores para turbinas
wind turbine;3;0;generico;contrato de construccion y volumen de negocio
wind turbine;4;0;generico;proyecto de I+D de mantenimiento
wind turbine;5;1;ok;financiacion de eolica marina
wind turbine;6;0;generico;ampliacion de capital de cliente
first aid;1;1;ok;
first aid;2;1;ok;
first aid;3;1;ok;
first aid;4;1;ok;
first aid;5;1;ok;
first aid;6;1;ok;
agroforestry;1;1;ok;
agroforestry;2;1;ok;
agroforestry;3;1;ok;
agroforestry;4;1;ok;
agroforestry;5;1;ok;
agroforestry;6;1;ok;
wind energy;1;0;otro;nombre de filial en listado societario
wind energy;2;1;ok;
wind energy;3;0;otro;nombre de unidad de negocio
wind energy;4;0;generico;ingresos por generacion
wind energy;5;0;indice;glosario
wind energy;6;1;ok;
supply chain due diligence;1;1;ok;
supply chain due diligence;2;1;ok;
supply chain due diligence;3;1;ok;
supply chain due diligence;4;1;ok;
supply chain due diligence;5;1;ok;
supply chain due diligence;6;1;ok;
fair wage;1;1;ok;
fair wage;2;1;ok;
fair wage;3;1;ok;nombre de ONG en contexto ESG
fair wage;4;1;ok;nombre de ONG en contexto ESG
fair wage;5;1;ok;
fair wage;6;1;ok;nombre de ONG en contexto ESG
data breach;1;1;ok;
data breach;2;1;ok;
data breach;3;1;ok;
data breach;4;0;indice;glosario
data breach;5;1;ok;
data breach;6;1;ok;
smeta;1;1;ok;
smeta;2;0;indice;tabla de correspondencia de KPIs
smeta;3;1;ok;
smeta;4;1;ok;
smeta;5;1;ok;
smeta;6;1;ok;
msci esg;1;1;ok;
msci esg;2;0;indice;nota al pie de fuentes
msci esg;3;0;otro;disclaimer legal de MSCI
msci esg;4;1;ok;
msci esg;5;1;ok;
msci esg;6;1;ok;
green investment;1;0;otro;nombre de filial en listado societario
green investment;2;1;ok;
green investment;3;1;ok;
green investment;4;1;ok;
green investment;5;1;ok;
green investment;6;1;ok;
fair compensation;1;1;ok;
fair compensation;2;1;ok;
fair compensation;3;1;ok;
fair compensation;4;1;ok;
fair compensation;5;1;ok;
fair compensation;6;1;ok;
microplastic;1;1;ok;
microplastic;2;1;ok;
microplastic;3;0;indice;tabla ESRS no publicado
microplastic;4;1;ok;
microplastic;5;1;ok;
microplastic;6;1;ok;
fatality;1;1;ok;
fatality;2;1;ok;
fatality;3;1;ok;
fatality;4;1;ok;
fatality;5;0;indice;indice SASB
fatality;6;1;ok;
decarbonise;1;1;ok;
decarbonise;2;1;ok;
decarbonise;3;1;ok;
decarbonise;4;1;ok;
decarbonise;5;1;ok;
decarbonise;6;1;ok;
fair labor;1;1;ok;
fair labor;2;1;ok;
fair labor;3;1;ok;
fair labor;4;1;ok;
fair labor;5;1;ok;
fair labor;6;1;ok;
recycled raw material;1;1;ok;
recycled raw material;2;1;ok;
recycled raw material;3;1;ok;
recycled raw material;4;1;ok;
recycled raw material;5;1;ok;
recycled raw material;6;1;ok;
air pollutant;1;1;ok;
air pollutant;2;1;ok;
air pollutant;3;1;ok;contexto regulatorio de emisiones
air pollutant;4;1;ok;riesgo regulatorio HSE
air pollutant;5;1;ok;
air pollutant;6;1;ok;
labor practices;1;1;ok;
labor practices;2;1;ok;
labor practices;3;1;ok;
labor practices;4;1;ok;
labor practices;5;0;financiero;cargo juridico unfair labor practices NLRB
labor practices;6;1;ok;
racism;1;1;ok;
racism;2;1;ok;
racism;3;1;ok;
racism;4;0;otro;exposicion cientifica sobre la piel
racism;5;1;ok;
racism;6;1;ok;
supply chain risk;1;1;ok;
supply chain risk;2;0;generico;continuidad operativa y referencia a factor de riesgo
supply chain risk;3;1;ok;
supply chain risk;4;1;ok;etiqueta de analisis de materialidad
supply chain risk;5;1;ok;
supply chain risk;6;1;ok;
fair trade;1;1;ok;
fair trade;2;1;ok;
fair trade;3;1;ok;
fair trade;4;1;ok;
fair trade;5;1;ok;
fair trade;6;0;otro;Korea Fair Trade Commission antimonopolio
hydropower;1;1;ok;
hydropower;2;1;ok;
hydropower;3;1;ok;
hydropower;4;1;ok;
hydropower;5;1;ok;
hydropower;6;1;ok;
sedex;1;1;ok;
sedex;2;1;ok;
sedex;3;1;ok;
sedex;4;1;ok;
sedex;5;0;financiero;mercado bursatil italiano SeDeX
sedex;6;1;ok;
tax avoidance;1;0;financiero;normativa fiscal de regimenes privilegiados
tax avoidance;2;0;financiero;factor de riesgo fiscal propio
tax avoidance;3;0;otro;informe del verificador boilerplate
tax avoidance;4;0;indice;descripcion de contenido y referencia cruzada
tax avoidance;5;1;ok;
tax avoidance;6;1;ok;
social norm;1;1;ok;
social norm;2;1;ok;
social norm;3;0;generico;riesgo conductual interno
social norm;4;0;indice;encabezado de infografia
social norm;5;0;generico;riesgo conductual interno
social norm;6;1;ok;
political contribution;1;1;ok;
political contribution;2;1;ok;
political contribution;3;0;indice;etiqueta GRI 415-1
political contribution;4;0;indice;encabezado de seccion
political contribution;5;0;indice;etiqueta GRI 415-1
political contribution;6;1;ok;
chemical management;1;1;ok;
chemical management;2;1;ok;
chemical management;3;1;ok;
chemical management;4;1;ok;
chemical management;5;1;ok;
chemical management;6;1;ok;
supply chain worker;1;0;indice;referencia cruzada a seccion
supply chain worker;2;1;ok;
supply chain worker;3;1;ok;
supply chain worker;4;1;ok;
supply chain worker;5;1;ok;
supply chain worker;6;1;ok;
issb;1;1;ok;tabla de emisiones financiadas
issb;2;1;ok;
issb;3;0;indice;fila de tabla de correspondencia
issb;4;1;ok;
issb;5;1;ok;
issb;6;1;ok;
particulate matter;1;1;ok;
particulate matter;2;1;ok;
particulate matter;3;1;ok;
particulate matter;4;1;ok;
particulate matter;5;1;ok;
particulate matter;6;1;ok;
customer privacy;1;1;ok;
customer privacy;2;1;ok;
customer privacy;3;1;ok;
customer privacy;4;1;ok;
customer privacy;5;1;ok;
customer privacy;6;0;indice;indice GRI
microfiber;1;1;ok;
microfiber;2;1;ok;
microfiber;3;1;ok;
microfiber;4;0;generico;material textil de tapiceria no contaminacion
microfiber;5;1;ok;
microfiber;6;1;ok;
iso\s*37001\b;1;1;ok;
iso\s*37001\b;2;1;ok;
iso\s*37001\b;3;1;ok;
iso\s*37001\b;4;1;ok;
iso\s*37001\b;5;1;ok;
iso\s*37001\b;6;1;ok;
cop28;1;1;ok;
cop28;2;1;ok;
cop28;3;1;ok;
cop28;4;1;ok;
cop28;5;1;ok;
cop28;6;1;ok;
compliance and ethics;1;1;ok;
compliance and ethics;2;1;ok;
